motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,pose
0.514417532,0.425730994,0.474237645,0.370731707,0.441610738,0.406119611,1
0.470588235,0.407017544,0.518401682,0.464634146,0.544966443,0.454798331,1
0.366782007,0.476023392,0.522607781,0.429268293,0.524832215,0.460361613,1
0.24567474,0.396491228,0.603575184,0.292682927,0.451006711,0.45201669,0
0.319492503,0.364912281,0.509989485,0.279268293,0.553020134,0.52294854,0
0.362168397,0.422222222,0.441640379,0.379268293,0.66442953,0.322670376,0
0.470588235,0.433918129,0.548895899,0.37804878,0.548993289,0.411682893,1
0.477508651,0.423391813,0.575184017,0.336585366,0.483221477,0.504867872,1
0.539792388,0.452631579,0.60042061,0.369512195,0.473825503,0.394993046,1
0.535178777,0.450292398,0.507886435,0.48902439,0.391946309,0.388038943,0
0.516724337,0.404678363,0.52681388,0.632926829,0.273825503,0.343532684,1
0.493656286,0.532163743,0.484752892,0.393902439,0.394630872,0.382475661,0
0.462514418,0.452631579,0.483701367,0.286585366,0.520805369,0.458970793,1
0.535178777,0.407017544,0.464773922,0.43902439,0.582550336,0.35744089,0
0.288350634,0.430409357,0.519453207,0.384146341,0.32885906,0.803894298,0
0.484429066,0.347368421,0.5446898,0.41097561,0.644295302,0.361613352,1
0.507497116,0.512280702,0.505783386,0.414634146,0.422818792,0.436717663,1
0.239907728,0.447953216,0.40168244,0.65,0.197315436,0.159944367,0
0.45905421,0.451461988,0.558359621,0.480487805,0.387919463,0.47566064,1
0.634371396,0.411695906,0.481598318,0.287804878,0.429530201,0.368567455,0
0.415224913,0.432748538,0.50893796,0.417073171,0.473825503,0.38108484,1
0.510957324,0.512280702,0.475289169,0.374390244,0.575838926,0.19054242,0
0.599769319,0.302923977,0.498422713,0.32195122,0.483221477,0.449235049,1
0.579008074,0.36374269,0.499474238,0.504878049,0.387919463,0.40472879,1
0.429065744,0.473684211,0.559411146,0.573170732,0.64295302,0.582753825,0
0.554786621,0.487719298,0.569926393,0.303658537,0.476510067,0.639777469,0
0.508650519,0.334502924,0.548895899,0.392682927,0.534228188,0.485396384,1
0.475201845,0.432748538,0.441640379,0.407317073,0.524832215,0.407510431,1
0.577854671,0.471345029,0.475289169,0.445121951,0.495302013,0.436717663,0
0.434832757,0.469005848,0.513144059,0.452439024,0.569127517,0.35744089,1
0.62283737,0.456140351,0.238696109,0.729268293,0.334228188,0.42837274,0
0.62283737,0.513450292,0.429022082,0.445121951,0.520805369,0.400556328,0
0.619377163,0.371929825,0.458464774,0.515853659,0.452348993,0.329624478,1
0.486735871,0.435087719,0.463722397,0.419512195,0.554362416,0.353268428,1
0.605536332,0.281871345,0.536277603,0.464634146,0.453691275,0.392211405,1
0.452133795,0.298245614,0.752891693,0.215853659,0.503355705,0.606397775,0
0.290657439,0.611695906,0.517350158,0.337804878,0.438926174,0.639777469,0
0.530565167,0.350877193,0.54679285,0.234146341,0.500671141,0.49930459,0
0.500576701,0.373099415,0.58254469,0.36097561,0.371812081,0.528511822,0
0.584775087,0.450292398,0.542586751,0.380487805,0.491275168,0.372739917,1
0.478662053,0.449122807,0.494216614,0.374390244,0.424161074,0.422809458,1
0.479815456,0.440935673,0.485804416,0.459756098,0.518120805,0.406119611,1
0.703575548,0.431578947,0.442691903,0.35,0.679194631,0.374130737,0
0.615916955,0.410526316,0.509989485,0.491463415,0.473825503,0.421418637,1
0.47289504,0.447953216,0.52681388,0.37195122,0.465771812,0.378303199,1
0.448673587,0.493567251,0.521556257,0.295121951,0.440268456,0.431154381,1
0.437139562,0.325146199,0.657202944,0.293902439,0.473825503,0.439499305,0
0.470588235,0.368421053,0.493165089,0.473170732,0.652348993,0.205841446,1
0.507497116,0.438596491,0.493165089,0.423170732,0.553020134,0.456189152,1
0.446366782,0.446783626,0.640378549,0.498780488,0.416107383,0.408901252,1
0.441753172,0.41871345,0.559411146,0.540243902,0.445637584,0.415855355,1
0.521337947,0.465497076,0.402733964,0.404878049,0.346308725,0.392211405,0
0.365628604,0.452631579,0.49106204,0.381707317,0.511409396,0.435326843,1
0.320645905,0.142690058,0.722397476,0.192682927,0.648322148,0.432545202,0
0.417531719,0.520467836,0.539432177,0.403658537,0.472483221,0.410292072,0
0.445213379,0.319298246,0.559411146,0.481707317,0.306040268,0.21418637,0
0.546712803,0.377777778,0.480546793,0.643902439,0.465771812,0.411682893,0
0.453287197,0.398830409,0.578338591,0.264634146,0.730201342,0.383866481,0
0.376009227,0.50994152,0.588853838,0.497560976,0.553020134,0.425591099,0
0.525951557,0.419883041,0.505783386,0.492682927,0.422818792,0.292072323,1
0.467128028,0.457309942,0.523659306,0.457317073,0.420134228,0.550764951,1
0.456747405,0.380116959,0.412197687,0.442682927,0.468456376,0.383866481,1
0.452133795,0.456140351,0.60042061,0.365853659,0.436241611,0.445062587,1
0.672433679,0.387134503,0.407991588,0.486585366,0.320805369,0.171070932,0
0.506343714,0.371929825,0.535226078,0.475609756,0.393288591,0.436717663,1
0.730103806,0.664327485,0.4553102,0.312195122,0.346308725,0.64255911,0
0.522491349,0.38245614,0.587802313,0.5,0.389261745,0.525730181,0
0.478662053,0.419883041,0.509989485,0.425609756,0.499328859,0.396383866,1
0.336793541,0.384795322,0.543638275,0.412195122,0.536912752,0.414464534,0
0.692041522,0.513450292,0.499474238,0.35,0.610738255,0.418636996,0
0.430219146,0.429239766,0.627760252,0.37804878,0.49261745,0.429763561,1
0.544405998,0.252631579,0.576235542,0.459756098,0.502013423,0.342141864,1
0.430219146,0.247953216,0.759200841,0.408536585,0.52885906,0.335187761,0
0.504036909,0.429239766,0.49106204,0.329268293,0.456375839,0.418636996,1
0.52710496,0.410526316,0.569926393,0.337804878,0.299328859,0.378303199,0
0.489042676,0.492397661,0.540483701,0.458536585,0.467114094,0.397774687,1
0.474048443,0.493567251,0.516298633,0.454878049,0.37852349,0.392211405,1
0.361014994,0.559064327,0.467928496,0.263414634,0.590604027,0.485396384,0
0.404844291,0.428070175,0.4553102,0.417073171,0.402684564,0.470097357,1
0.423298731,0.41871345,0.493165089,0.497560976,0.327516779,0.410292072,1
0.467128028,0.486549708,0.517350158,0.358536585,0.569127517,0.442280946,1
0.47289504,0.443274854,0.456361725,0.434146341,0.648322148,0.393602225,0
0.498269896,0.348538012,0.552050473,0.346341463,0.487248322,0.485396384,1
0.495963091,0.385964912,0.532071504,0.359756098,0.532885906,0.406119611,0
0.462514418,0.45497076,0.584647739,0.369512195,0.446979866,0.42837274,1
0.592848904,0.364912281,0.495268139,0.435365854,0.370469799,0.425591099,0
0.424452134,0.493567251,0.487907466,0.459756098,0.502013423,0.472878999,1
0.557093426,0.466666667,0.49106204,0.395121951,0.390604027,0.426981919,0
0.291810842,0.512280702,0.663512093,0.331707317,0.57852349,0.474269819,0
0.55017301,0.313450292,0.515247108,0.315853659,0.472483221,0.541029207,0
0.4544406,0.443274854,0.512092534,0.429268293,0.527516779,0.233657858,0
0.416378316,0.198830409,0.716088328,0.548780488,0.308724832,0.26286509,0
0.447520185,0.428070175,0.516298633,0.467073171,0.467114094,0.417246175,0
0.549019608,0.433918129,0.525762355,0.519512195,0.387919463,0.454798331,0
0.524798155,0.429239766,0.484752892,0.506097561,0.504697987,0.388038943,1
0.494809689,0.458479532,0.58254469,0.409756098,0.413422819,0.454798331,1
0.465974625,0.368421053,0.536277603,0.390243902,0.438926174,0.489568846,0
0.756632065,0.173099415,0.442691903,0.542682927,0.389261745,0.307371349,0
0.332179931,0.45497076,0.525762355,0.420731707,0.456375839,0.418636996,1
0.510957324,0.343859649,0.518401682,0.302439024,0.548993289,0.301808067,0
0.471741638,0.47251462,0.492113565,0.402439024,0.476510067,0.399165508,1
0.516724337,0.401169591,0.424815983,0.393902439,0.451006711,0.591098748,1
0.494809689,0.412865497,0.487907466,0.457317073,0.382550336,0.559109875,1
0.510957324,0.411695906,0.531019979,0.420731707,0.480536913,0.408901252,0
0.476355248,0.426900585,0.540483701,0.382926829,0.510067114,0.538247566,1
0.442906574,0.444444444,0.50893796,0.275609756,0.434899329,0.465924896,1
0.47289504,0.536842105,0.384858044,0.323170732,0.495302013,0.438108484,1
0.471741638,0.426900585,0.568874869,0.335365854,0.518120805,0.354659249,1
0.464821223,0.423391813,0.429022082,0.287804878,0.645637584,0.589707928,0
0.583621684,0.375438596,0.557308097,0.493902439,0.395973154,0.467315716,1
0.510957324,0.359064327,0.509989485,0.435365854,0.42147651,0.417246175,1
0.507497116,0.266666667,0.405888538,0.347560976,0.370469799,0.349095967,0
0.376009227,0.639766082,0.400630915,0.209756098,0.718120805,0.406119611,0
0.55017301,0.334502924,0.601472135,0.265853659,0.661744966,0.710709318,0
0.474048443,0.45497076,0.506834911,0.376829268,0.543624161,0.399165508,1
0.490196078,0.447953216,0.47108307,0.375609756,0.468456376,0.397774687,1
0.434832757,0.467836257,0.550998948,0.391463415,0.512751678,0.319888734,1
0.693194925,0.396491228,0.481598318,0.413414634,0.406711409,0.681502086,0
0.38638985,0.470175439,0.523659306,0.513414634,0.359731544,0.421418637,1
0.520184544,0.373099415,0.47108307,0.679268293,0.577181208,0.431154381,0
0.534025375,0.498245614,0.490010515,0.432926829,0.543624161,0.282336579,1
0.636678201,0.416374269,0.452155626,0.604878049,0.453691275,0.343532684,0
0.477508651,0.402339181,0.478443743,0.341463415,0.469798658,0.417246175,1
0.367935409,0.288888889,0.388012618,0.379268293,0.467114094,0.223922114,0
0.419838524,0.478362573,0.47108307,0.487804878,0.373154362,0.457579972,1
0.335640138,0.52748538,0.643533123,0.440243902,0.324832215,0.425591099,0
0.477508651,0.405847953,0.566771819,0.386585366,0.481879195,0.447844228,1
0.542099193,0.445614035,0.422712934,0.437804878,0.385234899,0.575799722,0
0.471741638,0.438596491,0.573080967,0.446341463,0.488590604,0.478442281,1
0.405997693,0.322807018,0.7276551,0.41097561,0.353020134,0.350486787,0
